paper_id,title,authors,year,venue,task,modalities,trf_or_lagged_design,partial_correlation,residualize_input,residualize_embedding,residualize_q,residualize_k,residualize_v,condition_attention,acoustic_covariates,brain_data,teacher_model,hard_negative_control,code_available,closest_overlap,novelty_risk,url,notes
W3159696612,EEG-based detection of the locus of auditory attention with convolutional neural networks,Servaas Vandecappelle; Lucas Deckers; Neetha Das; Amir H. Ansari; Alexander Bertrand; Tom Francart,2021,eLife,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,False,eeg_audio,medium,https://doi.org/10.7554/elife.56481,"In a multi-speaker scenario, the human auditory system is able to attend to one particular speaker of interest and ignore the others. It has been demonstrated that it is possible to use electroencephalography (EEG) signals to infer to which speaker someone is attending by relating the neural activity to the speech signals. However, classifying auditory attention within a short time interval remains the main challenge"
W3126966983,Electroencephalography-Based Auditory Attention Decoding: Toward Neurosteered Hearing Devices,Simon Geirnaert; Servaas Vandecappelle; Emina Alickovic; Alain de Cheveigne; Edmund Lalor; Bernd T. Meyer; Sina Miran; Tom Francart; Alexander Bertrand,2021,IEEE Signal Processing Magazine,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,False,eeg_audio,medium,https://doi.org/10.1109/msp.2021.3075932,"People suffering from hearing impairment often have difficulties participating in conversations in so-called cocktail party scenarios where multiple individuals are simultaneously talking. Although advanced algorithms exist to suppress background noise in these situations, a hearing device also needs information about which speaker a user actually aims to attend to. The voice of the correct (attended) speaker can the"
W4283015068,Robust decoding of the speech envelope from EEG recordings through deep neural networks,Mike Thornton; Danilo P. Mandic; Tobias Reichenbach,2022,Journal of Neural Engineering,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,True,True,False,False,True,eeg_audio,medium,https://doi.org/10.1088/1741-2552/ac7976,Abstract Objective. Smart hearing aids which can decode the focus of a user’s attention could considerably improve comprehension levels in noisy environments. Methods for decoding auditory attention from electroencapholography (EEG) have attracted considerable interest for this reason. Recent studies suggest that the integration of deep neural networks (DNNs) into existing auditory attention decoding (AAD) algorithms
W4206654584,STAnet: A Spatiotemporal Attention Network for Decoding Auditory Spatial Attention From EEG,Enze Su; Siqi Cai; Longhan Xie; Haizhou Li; Tanja Schultz,2022,IEEE Transactions on Biomedical Engineering,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,True,True,False,False,False,eeg_audio,medium,https://doi.org/10.1109/tbme.2022.3140246,"OBJECTIVE: Humans are able to localize the source of a sound. This enables them to direct attention to a particular speaker in a cocktail party. Psycho-acoustic studies show that the sensory cortices of the human brain respond to the location of sound sources differently, and the auditory attention itself is a dynamic and temporally based brain activity. In this work, we seek to build a computational model which uses"
W4387378260,Decoding speech perception from non-invasive brain recordings,Alexandre Défossez; Charlotte Caucheteux; Jérémy Rapin; Ori Kabeli; Jean-Rémi King,2023,Nature Machine Intelligence,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,True,eeg_audio,medium,https://doi.org/10.1038/s42256-023-00714-5,"Abstract Decoding speech from brain activity is a long-awaited goal in both healthcare and neuroscience. Invasive devices have recently led to major milestones in this regard: deep-learning algorithms trained on intracranial recordings can now start to decode elementary linguistic features such as letters, words and audio-spectrograms. However, extending this approach to natural speech and non-invasive brain recordin"
W4315701836,Neural decoding of music from the EEG,Ian Daly,2023,Scientific Reports,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,True,True,False,False,True,eeg_audio,medium,https://doi.org/10.1038/s41598-022-27361-x,"Neural decoding models can be used to decode neural representations of visual, acoustic, or semantic information. Recent studies have demonstrated neural decoders that are able to decode accoustic information from a variety of neural signal types including electrocortiography (ECoG) and the electroencephalogram (EEG). In this study we explore how functional magnetic resonance imaging (fMRI) can be combined with EEG t"
W4384155732,Relating EEG to continuous speech using deep neural networks: a review,Corentin Puffay; Bernd Accou; Lies Bollens; Mohammad Jalilpour Monesi; Jonas Vanthornhout; Hugo Van hamme; Tom Francart,2023,Journal of Neural Engineering,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,False,eeg_audio,medium,https://doi.org/10.1088/1741-2552/ace73f,"Abstract Objective. When a person listens to continuous speech, a corresponding response is elicited in the brain and can be recorded using electroencephalography (EEG). Linear models are presently used to relate the EEG recording to the corresponding speech signal. The ability of linear models to find a mapping between these two signals is used as a measure of neural tracking of speech. Such models are limited as th"
W4394577281,A neural speech decoding framework leveraging deep learning and speech synthesis,Xupeng Chen; Ran Wang; Amirhossein Khalilian-Gourtani; Leyao Yu; Patricia Dugan; Daniel Friedman; Werner Doyle; Orrin Devinsky; Yao Wang; Adeen Flinker,2024,Nature Machine Intelligence,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,False,eeg_audio,medium,https://doi.org/10.1038/s42256-024-00824-8,"Decoding human speech from neural signals is essential for brain-computer interface (BCI) technologies that aim to restore speech in populations with neurological deficits. However, it remains a highly challenging task, compounded by the scarce availability of neural signals with corresponding speech, data complexity and high dimensionality. Here we present a novel deep learning-based neural speech decoding framework"
manual-41347fd9b0,Invariant Representations without Adversarial Training,Daniel Moyer et al.,2018,NeurIPS,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://proceedings.neurips.cc/paper/2018/hash/415185ea244ea2b2bedeb0449b926802-Abstract.html,Information-theoretic nuisance invariance; stronger than claiming linear residualization estimates conditional MI.
manual-ac342d6ed6,Statistical Learning with a Nuisance Component,Dylan Foster and Vasilis Syrgkanis,2019,COLT,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://proceedings.mlr.press/v99/foster19c.html,Formal nuisance-estimation error propagation; relevant to batch-estimated C but not an attention operator.
W2963093613,Unsupervised Learning with Contrastive Latent Variable Models,Kristen Severson; Soumya Ghosh; Kenney Ng,2019,,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://ojs.aaai.org/index.php/AAAI/article/view/4414,"In unsupervised learning, dimensionality reduction is an important tool for data exploration and visualization. Because these aims are typically open-ended, it can be useful to frame the problem as looking for patterns that are enriched in one dataset relative to another. These pairs of datasets occur commonly, for instance a population of interest vs. control or signal vs. signal free recordings. However, there are "
W2994929655,Learning Robust Representations via Multi-View Information Bottleneck,Marco Federici; Anjan Dutta; Patrick Forré; Nate Kushman; Zeynep Akata,2020,arXiv (Cornell University),nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,True,nuisance_projection,high,http://arxiv.org/abs/2002.07017,"The information bottleneck principle provides an information-theoretic method for representation learning, by training an encoder to retain all information which is relevant for predicting the label while minimizing the amount of other, excess information in the representation. The original formulation, however, requires labeled data to identify the superfluous information. In this work, we extend this ability to the"
